page_num,issue,notes,,,
4,1,"Folio in 2s, each issue is a different gathering",,,
5,1,,,,
6,1,,,,
7,1,,,,
8,1,,,,
9,1,,,,
10,46,Anomaly (I think we messed up and assigned the file page num wrong),,,
11,1,,,,
12,1,,,,
13,1,,,,
14,1,,,,
15,2,,,,
16,2,,,,
17,3,,,,
18,3,,,,
19,4,,,,
20,4,,,,
21,5,,,,
22,5,,,,
23,6,,,,
24,6,,,,
25,7,,,,
26,7,,,,
27,8,,,,
28,8,,,,
29,9,,,,
30,9,,,,
31,10,,,,
32,10,,,,
33,11,,,,
34,11,,,,
35,12,,,,
36,12,,,,
37,13,,,,
38,13,,,,
39,14,,,,
40,14,,,,
41,15,,,,
42,15,,,,
43,16,,,,
44,16,,,,
45,17,,,,
46,17,,,,
47,18,,,,
48,18,,,,
49,19,,,,
50,19,,,,
51,20,,,,
52,20,,,,
53,21,,,,
54,21,,,,
55,22,,,,
56,22,,,,
57,23,,,,
58,23,,,,
59,24,,,,
60,24,,,,
61,25,,,,
62,25,,,,
63,26,,,,
64,26,,,,
65,27,,,,
66,27,,,,
67,28,,,,
68,28,,,,
69,29,,,,
70,29,,,,
71,30,,,,
72,30,,,,
73,31,,,,
74,31,,,,
75,32,,,,
76,32,,,,
77,33,,,,
78,33,,,,
79,34,,,,
80,34,,,,
81,35,,,,
82,35,,,,
83,36,,,,
84,36,,,,
85,37,,,,
86,37,,,,
87,38,,,,
88,38,,,,
89,39,,,,
90,39,,,,
91,40,,,,
92,40,,,,
93,41,,,,
94,41,,,,
95,43,,,,
96,43,,,,
97,44,,,,
98,44,,,,
99,45,,,,
100,45,,,,
101,46,,,,
102,47,,,,
103,47,,,,
